sofifa_id,player_url,short_name,player_positions,overall,age,gender,nationality_name,pace,shooting,passing,dribbling,defending,physic,player_face_url,nation_flag_url,value_eur,wage_eur,club_name,preferred_foot,player_tags,attacking,skill,movement,power,mentality,goalkeeping
158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,"RW, ST, CF",93,34,male,Argentina,85.0,92.0,91.0,95.0,26,65.0,https://cdn.sofifa.net/players/158/023/22_120.png,https://cdn.sofifa.net/flags/ar.png,78000000.0,320000.0,Paris Saint-Germain,Left,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",85,94,90,77,73,9
188545,https://sofifa.com/player/188545/robert-lewandowski/220002,R. Lewandowski,ST,92,32,male,Poland,78.0,92.0,79.0,86.0,32,82.0,https://cdn.sofifa.net/players/188/545/22_120.png,https://cdn.sofifa.net/flags/pl.png,119500000.0,270000.0,FC Bayern München,Right,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward",86,81,81,84,80,8
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002,Cristiano Ronaldo,"ST, LW",91,36,male,Portugal,87.0,94.0,80.0,88.0,26,75.0,https://cdn.sofifa.net/players/020/801/22_120.png,https://cdn.sofifa.net/flags/pt.png,45000000.0,270000.0,Manchester United,Right,"#Aerial Threat, #Dribbler, #Distance Shooter, #Crosser, #Acrobat, #Clinical Finisher, #Complete Forward",87,83,85,87,74,9
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002,Neymar Jr,"LW, CAM",91,29,male,Brazil,91.0,83.0,86.0,94.0,32,63.0,https://cdn.sofifa.net/players/190/871/22_120.png,https://cdn.sofifa.net/flags/br.png,129000000.0,270000.0,Paris Saint-Germain,Right,"#Speedster, #Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",80,89,90,71,77,10
192985,https://sofifa.com/player/192985/kevin-de-bruyne/220002,K. De Bruyne,"CM, CAM",91,30,male,Belgium,76.0,86.0,93.0,88.0,62,78.0,https://cdn.sofifa.net/players/192/985/22_120.png,https://cdn.sofifa.net/flags/be.png,125500000.0,350000.0,Manchester City,Right,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",81,88,80,81,82,9
200389,https://sofifa.com/player/200389/jan-oblak/220002,J. Oblak,GK,91,28,male,Slovenia,1.0,1.0,1.0,1.0,19,1.0,https://cdn.sofifa.net/players/200/389/22_120.png,https://cdn.sofifa.net/flags/si.png,112000000.0,130000.0,Atlético de Madrid,Right,,19,21,61,53,34,81
231747,https://sofifa.com/player/231747/kylian-mbappe/220002,K. Mbappé,"ST, LW",91,22,male,France,97.0,88.0,80.0,92.0,30,77.0,https://cdn.sofifa.net/players/231/747/22_120.png,https://cdn.sofifa.net/flags/fr.png,194000000.0,230000.0,Paris Saint-Germain,Right,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",82,80,92,82,73,7
167495,https://sofifa.com/player/167495/manuel-neuer/220002,M. Neuer,GK,90,35,male,Germany,1.0,1.0,1.0,1.0,12,1.0,https://cdn.sofifa.net/players/167/495/22_120.png,https://cdn.sofifa.net/flags/de.png,13500000.0,86000.0,FC Bayern München,Right,,24,33,57,56,43,83
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/220002,M. ter Stegen,GK,90,29,male,Germany,1.0,1.0,1.0,1.0,16,1.0,https://cdn.sofifa.net/players/192/448/22_120.png,https://cdn.sofifa.net/flags/de.png,99000000.0,250000.0,FC Barcelona,Right,,23,28,51,53,40,80
202126,https://sofifa.com/player/202126/harry-kane/220002,H. Kane,ST,90,27,male,England,70.0,91.0,83.0,83.0,41,83.0,https://cdn.sofifa.net/players/202/126/22_120.png,https://cdn.sofifa.net/flags/gb-eng.png,129500000.0,240000.0,Tottenham Hotspur,Right,"#Distance Shooter, #Clinical Finisher",86,80,74,84,81,9
215914,https://sofifa.com/player/215914/ngolo-kante/220002,N. Kanté,"CDM, CM",90,30,male,France,78.0,66.0,75.0,82.0,89,83.0,https://cdn.sofifa.net/players/215/914/22_120.png,https://cdn.sofifa.net/flags/fr.png,100000000.0,230000.0,Chelsea,Right,"#Tackling, #Tactician ",65,67,84,76,78,9
165153,https://sofifa.com/player/165153/karim-benzema/220002,K. Benzema,"CF, ST",89,33,male,France,76.0,86.0,81.0,87.0,28,77.0,https://cdn.sofifa.net/players/165/153/22_120.png,https://cdn.sofifa.net/flags/fr.png,66000000.0,350000.0,Real Madrid CF,Right,#Poacher,85,80,78,80,75,7
192119,https://sofifa.com/player/192119/thibaut-courtois/220002,T. Courtois,GK,89,29,male,Belgium,1.0,1.0,1.0,1.0,18,1.0,https://cdn.sofifa.net/players/192/119/22_120.png,https://cdn.sofifa.net/flags/be.png,85500000.0,250000.0,Real Madrid CF,Left,,17,22,57,49,31,77
200104,https://sofifa.com/player/200104/heung-min-son/220002,H. Son,"LM, CF, LW",89,28,male,Korea Republic,88.0,87.0,82.0,86.0,39,69.0,https://cdn.sofifa.net/players/200/104/22_120.png,https://cdn.sofifa.net/flags/kr.png,104000000.0,220000.0,Tottenham Hotspur,Right,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",80,80,86,77,72,9
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/220002,Casemiro,CDM,89,29,male,Brazil,65.0,73.0,76.0,73.0,86,90.0,https://cdn.sofifa.net/players/200/145/22_120.png,https://cdn.sofifa.net/flags/br.png,88000000.0,310000.0,Real Madrid CF,Right,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender",69,73,68,87,80,11
203376,https://sofifa.com/player/203376/virgil-van-dijk/220002,V. van Dijk,CB,89,29,male,Netherlands,78.0,60.0,71.0,72.0,90,84.0,https://cdn.sofifa.net/players/203/376/22_120.png,https://cdn.sofifa.net/flags/nl.png,86000000.0,230000.0,Liverpool,Right,"#Tackling, #Tactician, #Strength, #Complete Defender",63,72,71,79,72,9
208722,https://sofifa.com/player/208722/sadio-mane/220002,S. Mané,LW,89,29,male,Senegal,91.0,83.0,80.0,89.0,40,77.0,https://cdn.sofifa.net/players/208/722/22_120.png,https://cdn.sofifa.net/flags/sn.png,101000000.0,270000.0,Liverpool,Right,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",81,78,91,81,73,9
209331,https://sofifa.com/player/209331/mohamed-salah/220002,M. Salah,RW,89,29,male,Egypt,90.0,87.0,81.0,90.0,40,75.0,https://cdn.sofifa.net/players/209/331/22_120.png,https://cdn.sofifa.net/flags/eg.png,101000000.0,270000.0,Liverpool,Left,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",78,81,90,79,78,10
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/220002,Ederson,GK,89,27,male,Brazil,1.0,1.0,1.0,1.0,17,1.0,https://cdn.sofifa.net/players/210/257/22_120.png,https://cdn.sofifa.net/flags/br.png,94000000.0,200000.0,Manchester City,Left,,25,32,64,54,46,83
212622,https://sofifa.com/player/212622/joshua-kimmich/220002,J. Kimmich,"CDM, RB",89,26,male,Germany,70.0,73.0,86.0,84.0,83,79.0,https://cdn.sofifa.net/players/212/622/22_120.png,https://cdn.sofifa.net/flags/de.png,108000000.0,160000.0,FC Bayern München,Right,#Crosser,77,80,79,80,77,10
212831,https://sofifa.com/player/212831/alisson-ramses-becker/220002,Alisson,GK,89,28,male,Brazil,1.0,1.0,1.0,1.0,16,1.0,https://cdn.sofifa.net/players/212/831/22_120.png,https://cdn.sofifa.net/flags/br.png,82000000.0,190000.0,Liverpool,Right,,24,27,53,47,34,81
230621,https://sofifa.com/player/230621/gianluigi-donnarumma/220002,G. Donnarumma,GK,89,22,male,Italy,1.0,1.0,1.0,1.0,16,1.0,https://cdn.sofifa.net/players/230/621/22_120.png,https://cdn.sofifa.net/flags/it.png,119500000.0,110000.0,Paris Saint-Germain,Right,,16,23,58,51,37,80
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/220002,Sergio Ramos,CB,88,35,male,Spain,70.0,70.0,76.0,74.0,88,84.0,https://cdn.sofifa.net/players/155/862/22_120.png,https://cdn.sofifa.net/flags/es.png,24000000.0,115000.0,Paris Saint-Germain,Right,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender",74,76,75,79,83,7
176580,https://sofifa.com/player/176580/luis-suarez/220002,L. Suárez,ST,88,34,male,Uruguay,72.0,90.0,82.0,84.0,41,83.0,https://cdn.sofifa.net/players/176/580/22_120.png,https://cdn.sofifa.net/flags/uy.png,44500000.0,135000.0,Atlético de Madrid,Right,"#Distance Shooter, #Clinical Finisher",86,82,78,81,78,25
182521,https://sofifa.com/player/182521/toni-kroos/220002,T. Kroos,CM,88,31,male,Germany,53.0,81.0,91.0,81.0,68,68.0,https://cdn.sofifa.net/players/182/521/22_120.png,https://cdn.sofifa.net/flags/de.png,75000000.0,310000.0,Real Madrid CF,Right,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder",79,86,66,70,77,8
192505,https://sofifa.com/player/192505/romelu-lukaku/220002,R. Lukaku,ST,88,28,male,Belgium,84.0,87.0,74.0,78.0,33,83.0,https://cdn.sofifa.net/players/192/505/22_120.png,https://cdn.sofifa.net/flags/be.png,93500000.0,260000.0,Chelsea,Left,"#Poacher, #Strength, #Complete Forward",81,74,74,81,72,9
193041,https://sofifa.com/player/193041/keylor-navas/220002,K. Navas,GK,88,34,male,Costa Rica,1.0,1.0,1.0,1.0,18,1.0,https://cdn.sofifa.net/players/193/041/22_120.png,https://cdn.sofifa.net/flags/cr.png,15500000.0,130000.0,Paris Saint-Germain,Right,,17,25,62,51,38,79
202652,https://sofifa.com/player/202652/raheem-sterling/220002,R. Sterling,"LW, RW",88,26,male,England,91.0,82.0,79.0,87.0,49,66.0,https://cdn.sofifa.net/players/202/652/22_120.png,https://cdn.sofifa.net/flags/gb-eng.png,107500000.0,290000.0,Manchester City,Right,"#Speedster, #Dribbler, #Acrobat",72,78,92,72,67,10
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/220002,Bruno Fernandes,CAM,88,26,male,Portugal,75.0,86.0,89.0,84.0,70,77.0,https://cdn.sofifa.net/players/212/198/22_120.png,https://cdn.sofifa.net/flags/pt.png,107500000.0,250000.0,Manchester United,Right,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",82,86,80,82,83,10
239085,https://sofifa.com/player/239085/erling-haaland/220002,E. Haaland,ST,88,20,male,Norway,89.0,91.0,65.0,80.0,39,88.0,https://cdn.sofifa.net/players/239/085/22_120.png,https://cdn.sofifa.net/flags/no.png,137500000.0,110000.0,Borussia Dortmund,Left,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",75,70,82,86,74,8
153079,https://sofifa.com/player/153079/sergio-aguero/220002,S. Agüero,ST,87,33,male,Argentina,71.0,89.0,75.0,87.0,27,69.0,https://cdn.sofifa.net/players/153/079/22_120.png,https://cdn.sofifa.net/flags/ar.png,51000000.0,260000.0,FC Barcelona,Right,"#Dribbler, #Clinical Finisher, #Complete Forward",81,78,80,77,71,10
167948,https://sofifa.com/player/167948/hugo-lloris/220002,H. Lloris,GK,87,34,male,France,1.0,1.0,1.0,1.0,19,1.0,https://cdn.sofifa.net/players/167/948/22_120.png,https://cdn.sofifa.net/flags/fr.png,13500000.0,125000.0,Tottenham Hotspur,Left,,18,23,63,44,37,78
177003,https://sofifa.com/player/177003/luka-modric/220002,L. Modrić,CM,87,35,male,Croatia,73.0,76.0,89.0,88.0,72,66.0,https://cdn.sofifa.net/players/177/003/22_120.png,https://cdn.sofifa.net/flags/hr.png,32000000.0,190000.0,Real Madrid CF,Right,"#Playmaker, #Crosser, #Acrobat, #Complete Midfielder",76,85,83,73,80,8
183898,https://sofifa.com/player/183898/angel-di-maria/220002,Á. Di María,"RW, LW",87,33,male,Argentina,83.0,81.0,86.0,87.0,49,69.0,https://cdn.sofifa.net/players/183/898/22_120.png,https://cdn.sofifa.net/flags/ar.png,49500000.0,160000.0,Paris Saint-Germain,Left,"#Dribbler, #Crosser, #FK Specialist, #Acrobat",76,87,84,76,74,8
186153,https://sofifa.com/player/186153/wojciech-szczesny/220002,W. Szczęsny,GK,87,31,male,Poland,1.0,1.0,1.0,1.0,15,1.0,https://cdn.sofifa.net/players/186/153/22_120.png,https://cdn.sofifa.net/flags/pl.png,42000000.0,105000.0,Juventus,Right,,17,19,57,50,33,77
189596,https://sofifa.com/player/189596/thomas-muller/220002,T. Müller,"CAM, RM, RW",87,31,male,Germany,67.0,84.0,83.0,80.0,50,71.0,https://cdn.sofifa.net/players/189/596/22_120.png,https://cdn.sofifa.net/flags/de.png,66000000.0,140000.0,FC Bayern München,Right,"#Engine, #Clinical Finisher",84,76,74,77,75,8
192387,https://sofifa.com/player/192387/ciro-immobile/220002,C. Immobile,ST,87,31,male,Italy,86.0,87.0,67.0,81.0,33,77.0,https://cdn.sofifa.net/players/192/387/22_120.png,https://cdn.sofifa.net/flags/it.png,67500000.0,125000.0,Lazio,Right,#Clinical Finisher,78,67,84,80,74,8
195864,https://sofifa.com/player/195864/paul-pogba/220002,P. Pogba,"CM, LM",87,28,male,France,71.0,81.0,86.0,86.0,63,83.0,https://cdn.sofifa.net/players/195/864/22_120.png,https://cdn.sofifa.net/flags/fr.png,79500000.0,220000.0,Manchester United,Right,"#Dribbler, #Playmaker, #Distance Shooter, #Strength, #Complete Midfielder",79,87,72,84,80,3
199556,https://sofifa.com/player/199556/marco-verratti/220002,M. Verratti,"CM, CAM",87,28,male,Italy,64.0,61.0,87.0,91.0,81,67.0,https://cdn.sofifa.net/players/199/556/22_120.png,https://cdn.sofifa.net/flags/it.png,79500000.0,155000.0,Paris Saint-Germain,Right,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder",70,84,80,63,83,10
