sofifa_id,player_url,short_name,player_positions,overall,age,gender,nationality_name,pace,shooting,passing,dribbling,defending,physic,player_face_url_old,nation_flag_url,value_eur,wage_eur,club_name,preferred_foot,player_tags,attacking,skill,movement,power,mentality,goalkeeping,player_face_url_old
158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,"RW, ST, CF",93,34,male,Argentina,85,92,91,95,26,65,https://cdn.sofifa.net/players/158/023/22_120.png,https://cdn.sofifa.net/flags/ar.png,78000000,320000,Paris Saint-Germain,Left,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",85,94,90,77,73,9,https://cdn.sofifa.net/players/158/023/22_120.png
188545,https://sofifa.com/player/188545/robert-lewandowski/220002,R. Lewandowski,ST,92,32,male,Poland,78,92,79,86,32,82,https://cdn.sofifa.net/players/188/545/22_120.png,https://cdn.sofifa.net/flags/pl.png,119500000,270000,FC Bayern München,Right,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward",86,81,81,84,80,8,https://cdn.sofifa.net/players/188/545/22_120.png
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002,Cristiano Ronaldo,"ST, LW",91,36,male,Portugal,87,94,80,88,26,75,https://cdn.sofifa.net/players/020/801/22_120.png,https://cdn.sofifa.net/flags/pt.png,45000000,270000,Manchester United,Right,"#Aerial Threat, #Dribbler, #Distance Shooter, #Crosser, #Acrobat, #Clinical Finisher, #Complete Forward",87,83,85,87,74,9,https://cdn.sofifa.net/players/020/801/22_120.png
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002,Neymar Jr,"LW, CAM",91,29,male,Brazil,91,83,86,94,32,63,https://cdn.sofifa.net/players/190/871/22_120.png,https://cdn.sofifa.net/flags/br.png,129000000,270000,Paris Saint-Germain,Right,"#Speedster, #Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",80,89,90,71,77,10,https://cdn.sofifa.net/players/190/871/22_120.png
192985,https://sofifa.com/player/192985/kevin-de-bruyne/220002,K. De Bruyne,"CM, CAM",91,30,male,Belgium,76,86,93,88,62,78,https://cdn.sofifa.net/players/192/985/22_120.png,https://cdn.sofifa.net/flags/be.png,125500000,350000,Manchester City,Right,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",81,88,80,81,82,9,https://cdn.sofifa.net/players/192/985/22_120.png
200389,https://sofifa.com/player/200389/jan-oblak/220002,J. Oblak,GK,91,28,male,Slovenia,1,1,1,1,19,1,https://cdn.sofifa.net/players/200/389/22_120.png,https://cdn.sofifa.net/flags/si.png,112000000,130000,Atlético de Madrid,Right,,19,21,61,53,34,81,https://cdn.sofifa.net/players/200/389/22_120.png
231747,https://sofifa.com/player/231747/kylian-mbappe/220002,K. Mbappé,"ST, LW",91,22,male,France,97,88,80,92,30,77,https://cdn.sofifa.net/players/231/747/22_120.png,https://cdn.sofifa.net/flags/fr.png,194000000,230000,Paris Saint-Germain,Right,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",82,80,92,82,73,7,https://cdn.sofifa.net/players/231/747/22_120.png
167495,https://sofifa.com/player/167495/manuel-neuer/220002,M. Neuer,GK,90,35,male,Germany,1,1,1,1,12,1,https://cdn.sofifa.net/players/167/495/22_120.png,https://cdn.sofifa.net/flags/de.png,13500000,86000,FC Bayern München,Right,,24,33,57,56,43,83,https://cdn.sofifa.net/players/167/495/22_120.png
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/220002,M. ter Stegen,GK,90,29,male,Germany,1,1,1,1,16,1,https://cdn.sofifa.net/players/192/448/22_120.png,https://cdn.sofifa.net/flags/de.png,99000000,250000,FC Barcelona,Right,,23,28,51,53,40,80,https://cdn.sofifa.net/players/192/448/22_120.png
202126,https://sofifa.com/player/202126/harry-kane/220002,H. Kane,ST,90,27,male,England,70,91,83,83,41,83,https://cdn.sofifa.net/players/202/126/22_120.png,https://cdn.sofifa.net/flags/gb-eng.png,129500000,240000,Tottenham Hotspur,Right,"#Distance Shooter, #Clinical Finisher",86,80,74,84,81,9,https://cdn.sofifa.net/players/202/126/22_120.png
